{'EPISODE END | Balance: 280.49| Max DD: 0.110| Trades: 344| Wins: 89| Losses: 83| Effectiveness (winrate): 51.74%'}
{'EPISODE END | Balance: 176.85| Max DD: 0.185| Trades: 150| Wins: 33| Losses: 42| Effectiveness (winrate): 44.00%'}
{'EPISODE END | Balance: 220.35| Max DD: 0.126| Trades: 326| Wins: 69| Losses: 94| Effectiveness (winrate): 42.33%'}
{'EPISODE END | Balance: 354.25| Max DD: 0.083| Trades: 404| Wins: 110| Losses: 92| Effectiveness (winrate): 54.46%'}
{'EPISODE END | Balance: 203.07| Max DD: 0.100| Trades: 178| Wins: 39| Losses: 50| Effectiveness (winrate): 43.82%'}
{'EPISODE END | Balance: 240.52| Max DD: 0.136| Trades: 334| Wins: 76| Losses: 91| Effectiveness (winrate): 45.51%'}
{'EPISODE END | Balance: 722.34| Max DD: 0.156| Trades: 1946| Wins: 505| Losses: 468| Effectiveness (winrate): 51.90%'}
{'EPISODE END | Balance: 166.01| Max DD: 0.198| Trades: 144| Wins: 30| Losses: 42| Effectiveness (winrate): 41.67%'}
{'EPISODE END | Balance: 209.85| Max DD: 0.151| Trades: 160| Wins: 33| Losses: 47| Effectiveness (winrate): 41.25%'}
{'EPISODE END | Balance: 195.33| Max DD: 0.144| Trades: 230| Wins: 47| Losses: 68| Effectiveness (winrate): 40.87%'}
{'EPISODE END | Balance: 177.89| Max DD: 0.139| Trades: 142| Wins: 37| Losses: 34| Effectiveness (winrate): 52.11%'}
{'EPISODE END | Balance: 257.89| Max DD: 0.121| Trades: 342| Wins: 88| Losses: 83| Effectiveness (winrate): 51.46%'}
{'EPISODE END | Balance: 247.64| Max DD: 0.156| Trades: 374| Wins: 94| Losses: 93| Effectiveness (winrate): 50.27%'}
{'EPISODE END | Balance: 189.02| Max DD: 0.227| Trades: 252| Wins: 58| Losses: 68| Effectiveness (winrate): 46.03%'}
{'EPISODE END | Balance: 405.82| Max DD: 0.072| Trades: 646| Wins: 168| Losses: 155| Effectiveness (winrate): 52.01%'}
{'EPISODE END | Balance: 461.56| Max DD: 0.122| Trades: 1056| Wins: 254| Losses: 274| Effectiveness (winrate): 48.11%'}
