{'EPISODE END | Balance: 466.34| Max DD: 0.090| Trades: 668| Wins: 229| Losses: 105| Effectiveness (winrate): 68.56%'}
{'EPISODE END | Balance: 210.64| Max DD: 0.097| Trades: 430| Wins: 147| Losses: 68| Effectiveness (winrate): 68.37%'}
{'EPISODE END | Balance: 231.70| Max DD: 0.110| Trades: 482| Wins: 168| Losses: 73| Effectiveness (winrate): 69.71%'}
{'EPISODE END | Balance: 220.39| Max DD: 0.124| Trades: 414| Wins: 135| Losses: 72| Effectiveness (winrate): 65.22%'}
{'EPISODE END | Balance: 285.19| Max DD: 0.116| Trades: 580| Wins: 193| Losses: 97| Effectiveness (winrate): 66.55%'}
{'EPISODE END | Balance: 397.73| Max DD: 0.162| Trades: 672| Wins: 232| Losses: 104| Effectiveness (winrate): 69.05%'}
{'EPISODE END | Balance: 219.39| Max DD: 0.100| Trades: 340| Wins: 98| Losses: 72| Effectiveness (winrate): 57.65%'}
{'EPISODE END | Balance: 222.16| Max DD: 0.088| Trades: 274| Wins: 88| Losses: 49| Effectiveness (winrate): 64.23%'}
{'EPISODE END | Balance: 285.94| Max DD: 0.116| Trades: 614| Wins: 205| Losses: 102| Effectiveness (winrate): 66.78%'}
{'EPISODE END | Balance: 2031.50| Max DD: 0.083| Trades: 1508| Wins: 520| Losses: 234| Effectiveness (winrate): 68.97%'}
{'EPISODE END | Balance: 7739.72| Max DD: 0.164| Trades: 862| Wins: 280| Losses: 151| Effectiveness (winrate): 64.97%'}
{'EPISODE END | Balance: 159.19| Max DD: 0.219| Trades: 370| Wins: 121| Losses: 64| Effectiveness (winrate): 65.41%'}
{'EPISODE END | Balance: 165.52| Max DD: 0.209| Trades: 384| Wins: 126| Losses: 66| Effectiveness (winrate): 65.62%'}
{'EPISODE END | Balance: 396.09| Max DD: 0.108| Trades: 834| Wins: 294| Losses: 123| Effectiveness (winrate): 70.50%'}
{'EPISODE END | Balance: 254.77| Max DD: 0.194| Trades: 622| Wins: 214| Losses: 97| Effectiveness (winrate): 68.81%'}
{'EPISODE END | Balance: 159.60| Max DD: 0.210| Trades: 258| Wins: 63| Losses: 66| Effectiveness (winrate): 48.84%'}
{'EPISODE END | Balance: 176.32| Max DD: 0.179| Trades: 294| Wins: 69| Losses: 78| Effectiveness (winrate): 46.94%'}
{'EPISODE END | Balance: 341.76| Max DD: 0.073| Trades: 526| Wins: 194| Losses: 69| Effectiveness (winrate): 73.76%'}
{'EPISODE END | Balance: 534.30| Max DD: 0.217| Trades: 996| Wins: 342| Losses: 156| Effectiveness (winrate): 68.67%'}
