{'EPISODE END | Balance: 275.67| Max DD: 0.117| Trades: 418| Wins: 102| Losses: 107| Effectiveness (winrate): 48.80%'}
{'EPISODE END | Balance: 741.27| Max DD: 0.096| Trades: 1558| Wins: 389| Losses: 390| Effectiveness (winrate): 49.94%'}
{'EPISODE END | Balance: 206.31| Max DD: 0.302| Trades: 520| Wins: 111| Losses: 149| Effectiveness (winrate): 42.69%'}
{'EPISODE END | Balance: 320.21| Max DD: 0.150| Trades: 480| Wins: 118| Losses: 122| Effectiveness (winrate): 49.17%'}
{'EPISODE END | Balance: 418.46| Max DD: 0.347| Trades: 836| Wins: 192| Losses: 226| Effectiveness (winrate): 45.93%'}
{'EPISODE END | Balance: 180.69| Max DD: 0.148| Trades: 192| Wins: 50| Losses: 46| Effectiveness (winrate): 52.08%'}
{'EPISODE END | Balance: 327.53| Max DD: 0.101| Trades: 386| Wins: 98| Losses: 95| Effectiveness (winrate): 50.78%'}
{'EPISODE END | Balance: 330.66| Max DD: 0.245| Trades: 524| Wins: 114| Losses: 148| Effectiveness (winrate): 43.51%'}
{'EPISODE END | Balance: 265.72| Max DD: 0.178| Trades: 340| Wins: 80| Losses: 90| Effectiveness (winrate): 47.06%'}
{'EPISODE END | Balance: 228.90| Max DD: 0.163| Trades: 296| Wins: 70| Losses: 78| Effectiveness (winrate): 47.30%'}
{'EPISODE END | Balance: 280.11| Max DD: 0.171| Trades: 342| Wins: 79| Losses: 92| Effectiveness (winrate): 46.20%'}
{'EPISODE END | Balance: 284.32| Max DD: 0.116| Trades: 282| Wins: 70| Losses: 71| Effectiveness (winrate): 49.65%'}
{'EPISODE END | Balance: 275.95| Max DD: 0.184| Trades: 296| Wins: 66| Losses: 82| Effectiveness (winrate): 44.59%'}
{'EPISODE END | Balance: 276.32| Max DD: 0.122| Trades: 370| Wins: 86| Losses: 99| Effectiveness (winrate): 46.49%'}
{'EPISODE END | Balance: 191.01| Max DD: 0.179| Trades: 172| Wins: 41| Losses: 45| Effectiveness (winrate): 47.67%'}
{'EPISODE END | Balance: 343.91| Max DD: 0.109| Trades: 346| Wins: 80| Losses: 93| Effectiveness (winrate): 46.24%'}
{'EPISODE END | Balance: 267.81| Max DD: 0.178| Trades: 300| Wins: 69| Losses: 81| Effectiveness (winrate): 46.00%'}
{'EPISODE END | Balance: 287.01| Max DD: 0.099| Trades: 334| Wins: 91| Losses: 76| Effectiveness (winrate): 54.49%'}
{'EPISODE END | Balance: 183.90| Max DD: 0.229| Trades: 278| Wins: 59| Losses: 80| Effectiveness (winrate): 42.45%'}
{'EPISODE END | Balance: 306.31| Max DD: 0.121| Trades: 430| Wins: 95| Losses: 120| Effectiveness (winrate): 44.19%'}
{'EPISODE END | Balance: 277.55| Max DD: 0.127| Trades: 366| Wins: 84| Losses: 99| Effectiveness (winrate): 45.90%'}
