{'EPISODE END | Balance: 700.58| Max DD: 0.066| Trades: 510| Wins: 171| Losses: 84| Effectiveness (winrate): 67.06%'}
{'EPISODE END | Balance: 4027.31| Max DD: 0.073| Trades: 800| Wins: 305| Losses: 95| Effectiveness (winrate): 76.25%'}
{'EPISODE END | Balance: 298.67| Max DD: 0.107| Trades: 310| Wins: 96| Losses: 59| Effectiveness (winrate): 61.94%'}
{'EPISODE END | Balance: 404.86| Max DD: 0.114| Trades: 396| Wins: 124| Losses: 74| Effectiveness (winrate): 62.63%'}
{'EPISODE END | Balance: 276.05| Max DD: 0.083| Trades: 186| Wins: 57| Losses: 36| Effectiveness (winrate): 61.29%'}
{'EPISODE END | Balance: 211.13| Max DD: 0.093| Trades: 144| Wins: 41| Losses: 31| Effectiveness (winrate): 56.94%'}
{'EPISODE END | Balance: 475.09| Max DD: 0.110| Trades: 370| Wins: 111| Losses: 74| Effectiveness (winrate): 60.00%'}
{'EPISODE END | Balance: 222.85| Max DD: 0.056| Trades: 162| Wins: 46| Losses: 35| Effectiveness (winrate): 56.79%'}
{'EPISODE END | Balance: 399.92| Max DD: 0.177| Trades: 476| Wins: 139| Losses: 99| Effectiveness (winrate): 58.40%'}
{'EPISODE END | Balance: 348.26| Max DD: 0.078| Trades: 324| Wins: 101| Losses: 61| Effectiveness (winrate): 62.35%'}
{'EPISODE END | Balance: 318.79| Max DD: 0.073| Trades: 296| Wins: 88| Losses: 60| Effectiveness (winrate): 59.46%'}
{'EPISODE END | Balance: 182.13| Max DD: 0.221| Trades: 182| Wins: 40| Losses: 51| Effectiveness (winrate): 43.96%'}
{'EPISODE END | Balance: 189.30| Max DD: 0.208| Trades: 272| Wins: 68| Losses: 68| Effectiveness (winrate): 50.00%'}
{'EPISODE END | Balance: 376.51| Max DD: 0.177| Trades: 472| Wins: 136| Losses: 100| Effectiveness (winrate): 57.63%'}
{'EPISODE END | Balance: 4422.49| Max DD: 0.170| Trades: 808| Wins: 257| Losses: 147| Effectiveness (winrate): 63.61%'}
{'EPISODE END | Balance: 435.57| Max DD: 0.103| Trades: 356| Wins: 115| Losses: 63| Effectiveness (winrate): 64.61%'}
{'EPISODE END | Balance: 2155.86| Max DD: 0.088| Trades: 620| Wins: 230| Losses: 80| Effectiveness (winrate): 74.19%'}
{'EPISODE END | Balance: 590.35| Max DD: 0.110| Trades: 450| Wins: 152| Losses: 73| Effectiveness (winrate): 67.56%'}
{'EPISODE END | Balance: 288.92| Max DD: 0.118| Trades: 320| Wins: 88| Losses: 72| Effectiveness (winrate): 55.00%'}
{'EPISODE END | Balance: 483.12| Max DD: 0.104| Trades: 370| Wins: 114| Losses: 71| Effectiveness (winrate): 61.62%'}
{'EPISODE END | Balance: 213.52| Max DD: 0.107| Trades: 232| Wins: 58| Losses: 58| Effectiveness (winrate): 50.00%'}
{'EPISODE END | Balance: 302.63| Max DD: 0.073| Trades: 172| Wins: 56| Losses: 30| Effectiveness (winrate): 65.12%'}
{'EPISODE END | Balance: 430.62| Max DD: 0.175| Trades: 446| Wins: 134| Losses: 89| Effectiveness (winrate): 60.09%'}
{'EPISODE END | Balance: 165.48| Max DD: 0.240| Trades: 158| Wins: 40| Losses: 39| Effectiveness (winrate): 50.63%'}
{'EPISODE END | Balance: 291.34| Max DD: 0.071| Trades: 214| Wins: 68| Losses: 39| Effectiveness (winrate): 63.55%'}
{'EPISODE END | Balance: 224.39| Max DD: 0.089| Trades: 242| Wins: 73| Losses: 48| Effectiveness (winrate): 60.33%'}
{'EPISODE END | Balance: 214.01| Max DD: 0.105| Trades: 232| Wins: 65| Losses: 51| Effectiveness (winrate): 56.03%'}
{'EPISODE END | Balance: 338.08| Max DD: 0.083| Trades: 302| Wins: 89| Losses: 62| Effectiveness (winrate): 58.94%'}
{'EPISODE END | Balance: 225.08| Max DD: 0.069| Trades: 246| Wins: 77| Losses: 46| Effectiveness (winrate): 62.60%'}
{'EPISODE END | Balance: 182.87| Max DD: 0.206| Trades: 194| Wins: 43| Losses: 54| Effectiveness (winrate): 44.33%'}
{'EPISODE END | Balance: 369.42| Max DD: 0.199| Trades: 376| Wins: 98| Losses: 90| Effectiveness (winrate): 52.13%'}
{'EPISODE END | Balance: 294.88| Max DD: 0.073| Trades: 264| Wins: 87| Losses: 45| Effectiveness (winrate): 65.91%'}
{'EPISODE END | Balance: 182.47| Max DD: 0.167| Trades: 260| Wins: 77| Losses: 53| Effectiveness (winrate): 59.23%'}
{'EPISODE END | Balance: 1464.87| Max DD: 0.091| Trades: 734| Wins: 272| Losses: 95| Effectiveness (winrate): 74.11%'}
{'EPISODE END | Balance: 577.49| Max DD: 0.081| Trades: 318| Wins: 100| Losses: 59| Effectiveness (winrate): 62.89%'}
{'EPISODE END | Balance: 175.41| Max DD: 0.144| Trades: 204| Wins: 59| Losses: 43| Effectiveness (winrate): 57.84%'}
{'EPISODE END | Balance: 177.18| Max DD: 0.192| Trades: 188| Wins: 44| Losses: 50| Effectiveness (winrate): 46.81%'}
