{'EPISODE END | Balance: 49.96| Max DD: 0.751| Trades: 582| Wins: 87| Losses: 204| Effectiveness (winrate): 29.90%'}
{'EPISODE END | Balance: 49.79| Max DD: 0.751| Trades: 638| Wins: 112| Losses: 207| Effectiveness (winrate): 35.11%'}
{'EPISODE END | Balance: 49.80| Max DD: 0.751| Trades: 572| Wins: 38| Losses: 248| Effectiveness (winrate): 13.29%'}
{'EPISODE END | Balance: 68.78| Max DD: 0.750| Trades: 1286| Wins: 272| Losses: 371| Effectiveness (winrate): 42.30%'}
{'EPISODE END | Balance: 49.92| Max DD: 0.750| Trades: 594| Wins: 95| Losses: 202| Effectiveness (winrate): 31.99%'}
{'EPISODE END | Balance: 49.89| Max DD: 0.751| Trades: 680| Wins: 111| Losses: 229| Effectiveness (winrate): 32.65%'}
{'EPISODE END | Balance: 49.88| Max DD: 0.751| Trades: 574| Wins: 48| Losses: 239| Effectiveness (winrate): 16.72%'}
{'EPISODE END | Balance: 49.62| Max DD: 0.753| Trades: 660| Wins: 93| Losses: 237| Effectiveness (winrate): 28.18%'}
{'EPISODE END | Balance: 49.88| Max DD: 0.751| Trades: 612| Wins: 99| Losses: 207| Effectiveness (winrate): 32.35%'}
{'EPISODE END | Balance: 49.76| Max DD: 0.751| Trades: 598| Wins: 75| Losses: 224| Effectiveness (winrate): 25.08%'}
{'EPISODE END | Balance: 49.56| Max DD: 0.752| Trades: 600| Wins: 86| Losses: 214| Effectiveness (winrate): 28.67%'}
{'EPISODE END | Balance: 51.29| Max DD: 0.750| Trades: 650| Wins: 118| Losses: 207| Effectiveness (winrate): 36.31%'}
{'EPISODE END | Balance: 50.27| Max DD: 0.751| Trades: 590| Wins: 92| Losses: 203| Effectiveness (winrate): 31.19%'}
{'EPISODE END | Balance: 49.78| Max DD: 0.751| Trades: 770| Wins: 144| Losses: 241| Effectiveness (winrate): 37.40%'}
{'EPISODE END | Balance: 49.77| Max DD: 0.751| Trades: 716| Wins: 128| Losses: 230| Effectiveness (winrate): 35.75%'}
{'EPISODE END | Balance: 49.55| Max DD: 0.752| Trades: 576| Wins: 75| Losses: 213| Effectiveness (winrate): 26.04%'}
{'EPISODE END | Balance: 50.45| Max DD: 0.751| Trades: 758| Wins: 149| Losses: 230| Effectiveness (winrate): 39.31%'}
{'EPISODE END | Balance: 51.30| Max DD: 0.750| Trades: 586| Wins: 76| Losses: 217| Effectiveness (winrate): 25.94%'}
{'EPISODE END | Balance: 49.67| Max DD: 0.752| Trades: 582| Wins: 79| Losses: 212| Effectiveness (winrate): 27.15%'}
{'EPISODE END | Balance: 49.86| Max DD: 0.751| Trades: 624| Wins: 110| Losses: 202| Effectiveness (winrate): 35.26%'}
{'EPISODE END | Balance: 50.00| Max DD: 0.750| Trades: 712| Wins: 120| Losses: 236| Effectiveness (winrate): 33.71%'}
{'EPISODE END | Balance: 56.30| Max DD: 0.750| Trades: 1218| Wins: 271| Losses: 338| Effectiveness (winrate): 44.50%'}
{'EPISODE END | Balance: 49.98| Max DD: 0.750| Trades: 652| Wins: 97| Losses: 229| Effectiveness (winrate): 29.75%'}
{'EPISODE END | Balance: 49.97| Max DD: 0.750| Trades: 554| Wins: 62| Losses: 215| Effectiveness (winrate): 22.38%'}
{'EPISODE END | Balance: 49.84| Max DD: 0.751| Trades: 606| Wins: 100| Losses: 203| Effectiveness (winrate): 33.00%'}
{'EPISODE END | Balance: 49.99| Max DD: 0.750| Trades: 808| Wins: 142| Losses: 262| Effectiveness (winrate): 35.15%'}
{'EPISODE END | Balance: 49.81| Max DD: 0.751| Trades: 570| Wins: 65| Losses: 220| Effectiveness (winrate): 22.81%'}
{'EPISODE END | Balance: 50.66| Max DD: 0.751| Trades: 588| Wins: 65| Losses: 229| Effectiveness (winrate): 22.11%'}
{'EPISODE END | Balance: 50.04| Max DD: 0.751| Trades: 1308| Wins: 272| Losses: 382| Effectiveness (winrate): 41.59%'}
{'EPISODE END | Balance: 49.76| Max DD: 0.751| Trades: 730| Wins: 147| Losses: 218| Effectiveness (winrate): 40.27%'}
{'EPISODE END | Balance: 49.79| Max DD: 0.751| Trades: 680| Wins: 121| Losses: 219| Effectiveness (winrate): 35.59%'}
{'EPISODE END | Balance: 52.91| Max DD: 0.750| Trades: 850| Wins: 178| Losses: 247| Effectiveness (winrate): 41.88%'}
