model,final_balance,max_drawdown,mean_reward,trades,winrate,final_balance_norm,winrate_norm,max_drawdown_norm,score
super_winner_8M_best_model.zip,651.0550556068788,0.49210352017639175,0.018607048698473204,0.0,0.0,0.9999999999654191,0.0,0.9999997722619642,0.6000000455268586
super_winner_8M.zip,622.1373943320094,0.48771251114101544,-0.006533734424962653,0.0,0.0,0.0,0.0,0.0,0.2
