episode,final_balance,max_balance,min_balance,max_drawdown,mean_reward,trades,winrate
1,280.48820651569844,287.3639575988905,199.7,0.3050624661887974,0.23161632614805086,0,0
2,176.85332828002677,206.61213141652445,168.15601656431076,0.1861270903531178,0.1064761830024493,0,0
3,220.35383984931306,233.64302790395243,175.7613250453249,0.2477356306237477,0.26168645959685893,0,0
4,354.25142062673467,354.25142062673467,193.0796591258443,0.45496433356780464,0.2861094243356126,0,0
5,203.06735962359025,222.27791276203405,188.0140964439155,0.15414854266154943,0.14422471797344194,0,0
6,240.52490025080314,252.71744712785252,175.87766961059776,0.3040541062381842,0.2437904213425073,0,0
7,722.3371409966174,844.9992816503991,199.7,0.7636684381435703,0.15020377592683612,0,0
8,166.01454783333563,205.36986201668407,164.40497646195234,0.1994688273754781,0.08344066079828664,0,0
9,209.85275977093957,228.18454120981158,190.16561912427002,0.1666148017037835,0.13732940042968894,0,0
10,195.333288788745,220.9271512166195,173.4451703276048,0.2149214373495384,0.24092786394843338,0,0
11,177.88958532393056,203.17949038517338,174.75633053331072,0.13989187490321997,0.10060508381484282,0,0
12,257.88839328169746,268.93011740101355,195.6748063794245,0.2723953409515485,0.2260237940441767,0,0
13,247.63965943076025,291.4058228642105,186.93696609924578,0.3584995513752832,0.2698105120113714,0,0
14,189.01964895828573,237.8820339603192,183.67362264045227,0.22787938381638928,0.12716629964044385,0,0
15,405.82288735136353,423.8775707625676,199.54999999999995,0.5292272727688707,0.18034580966065247,0,0
16,461.5613914972241,474.3973775701104,196.7038125,0.5853606663942204,0.16177917782685008,0,0
17,241.0790429773007,250.23378509348495,181.74732377326143,0.27368990679910643,0.18606012161964036,0,0
18,243.3490279895372,252.8733239552824,193.64320130353354,0.2342284339261621,0.18028850940338695,0,0
19,365.4407365309024,368.9310742151763,186.82553738476273,0.4936031404180442,0.24486063168768404,0,0
20,190.7952104988478,243.80639080167364,190.7952104988478,0.21743146325457985,0.19830673541138058,0,0
21,193.1104367831694,217.77298845721066,181.20160623286606,0.16793350949275498,0.21176925077497985,0,0
22,200.728519232244,200.728519232244,170.434998312408,0.15091787173892435,0.1767229259096221,0,0
23,204.8655180985154,242.49774067887964,187.62242433974484,0.22629207260038675,0.1441106251305786,0,0
24,248.80465969695115,261.168477462174,194.8400591280771,0.2539679328019343,0.18285379666197754,0,0
25,258.3941917442824,280.2956390699229,192.63255260753607,0.31275223101319205,0.15079810458698534,0,0
26,271.7678138092105,283.03435718431507,179.07906584288392,0.367288594839157,0.28945688520022883,0,0
27,304.24577978709056,330.79948380081703,193.38347100567245,0.41540576549958086,0.3000492604935435,0,0
28,304.36553215730925,327.4156239285987,196.55675,0.3996720509499443,0.19586850160252708,0,0
29,314.80727363125476,316.12713162728136,198.94293853277912,0.3706869210854833,0.19107928490795453,0,0
30,362.66461065609155,400.98273061496315,199.7,0.5019735645629125,0.1123679942332539,0,0
31,182.5664925133549,212.14508648506452,172.11111760392183,0.18871032812707245,0.1948386962658541,0,0
32,260.5395003018416,268.8670102491414,195.6156183423966,0.2724446998494443,0.2239973242231187,0,0
33,258.0265212190176,283.81120336576816,199.75,0.29618705100035236,0.13482526531625094,0,0
34,296.1696937686037,299.1696937686037,198.6043320256071,0.3361482256982221,0.201981454248643,0,0
35,276.88863147216705,291.3370363334273,199.7,0.31453960501112266,0.18680426131896508,0,0
36,285.11037885166144,288.16037885166145,197.66327075833357,0.314051183767751,0.34022596474019234,0,0
37,268.61254740093057,293.1136640042888,196.65525,0.3290819427745185,0.403756745214895,0,0
38,284.86727732995104,292.02344831027676,198.47079060631418,0.3203600883603096,0.15661229942629273,0,0
39,846.9634480677802,904.1202313210831,199.75,0.7790669945432709,0.15320316456062064,0,0
40,205.92065069598124,217.07710783055347,180.61159411758842,0.16798415124191435,0.22783326744341934,0,0
41,243.93208144816847,254.92443395386732,184.2902488519968,0.27707891317570954,0.3240624208490897,0,0
42,232.92627102126943,238.31910132172692,182.25161271242203,0.2352622525779614,0.307809043331975,0,0
43,298.1023220594285,302.7195679722113,191.10084167058608,0.36871989164529817,0.27202904180756593,0,0
44,570.3166711094099,589.2095387862039,185.33322829946317,0.6854544672150805,0.31554775459854606,0,0
45,301.24770443113295,343.29542968192914,189.20000321837884,0.4488711853994769,0.12401902693155707,0,0
46,244.60605638936462,252.39477013033715,193.18785345718572,0.2345806002342159,0.18450692684114373,0,0
47,223.3081327823048,228.15926577899324,171.63343438048446,0.2477472532422269,0.23023683394270342,0,0
48,173.28604076100237,208.4696049714176,169.58696586982646,0.18651466772301017,0.2423927225017826,0,0
49,256.39175581419863,265.5450294759755,171.39633412292085,0.3545488896510207,0.40220848215876054,0,0
50,193.96131690467772,247.9270393443115,191.9699123081757,0.22569997683239662,0.11631791523086833,0,0
51,193.7142701981155,213.6360913648852,187.87424019488338,0.12058754213959666,0.12869729616944472,0,0
52,237.86262173345935,292.26096184960926,199.44999999999993,0.3175619530649725,0.2755515356092581,0,0
53,231.9332381183737,246.94496501933983,189.7460084303885,0.23162633254932619,0.3592394481069502,0,0
54,522.8645386732638,544.9027354519723,199.7,0.6335125757180172,0.18835038701197673,0,0
55,211.61725152646795,226.000433891119,179.4530087292977,0.20596166281807504,0.15496703202516288,0,0
56,401.3692811066318,407.5097976079669,191.15837554853465,0.5309109703113615,0.20751796788651541,0,0
57,283.77420477698433,283.77420477698433,165.7144204867997,0.41603423532793193,0.30956989882022284,0,0
58,233.47694378123137,242.47694378123137,196.28022505120214,0.19052004701819836,0.10452339753828424,0,0
59,240.86002323693864,252.65962228443527,199.7,0.20960857063585414,0.11790130068043332,0,0
60,371.0317325476961,381.9887206245912,186.62175231496923,0.511446955790152,0.5020799918802489,0,0
61,181.00658548016418,212.79821589203425,175.44366562518073,0.17553977184567093,0.1268890261814173,0,0
62,307.3952919311107,321.3599318345058,181.35071396020427,0.43567727026530356,0.2449330918926623,0,0
63,297.9821376723137,304.0821376723137,197.16196395795416,0.3516160946933994,0.19271982262533624,0,0
64,391.2128466511302,401.70506024402664,199.75,0.5027446259236654,0.22666184716074742,0,0
65,424.08109910461644,431.4691090157452,199.7,0.5371626940905461,0.1520522057430588,0,0
66,315.80535873754934,322.93139923878994,193.76131332766093,0.39999233959784397,0.21074019005216632,0,0
67,224.12769894852354,235.13332239871716,179.46061283687223,0.236770820034773,0.1904955714601972,0,0
68,313.5377663191547,322.2668323086771,193.25240375336122,0.4003341815571697,0.2140959050410751,0,0
