episode,final_balance,max_balance,min_balance,max_drawdown,mean_reward,trades,winrate
1,361.9491898441469,365.1491898441469,199.38542237776014,0.4539617561171041,0.7433957337350655,0,0
2,377.6553047922853,380.8553047922853,197.82901121014447,0.4805664809683078,0.39196923910320386,0,0
3,345.94468833825846,350.87609447545225,197.55510533985256,0.4369661870661474,0.3360682079353333,0,0
4,386.7228774614705,389.92287746147053,196.2234826345019,0.4967633499424734,0.3021390629647899,0,0
5,525.291466214309,528.7914662143086,199.75,0.6222518464035777,0.39392542952017395,0,0
6,222.27069164328725,237.3283088763665,194.71727558281202,0.17954467166305144,0.3958978317610981,0,0
7,203.49572699070288,209.16176540702756,175.59997789000948,0.16045852095246493,0.4132469423440686,0,0
8,236.51238271035967,245.17320560746748,183.90581036915987,0.2498943352578229,0.43203460914267305,0,0
9,158.45087104765872,199.75,158.45087104765872,0.20675408737092005,0.11783962873149134,0,0
10,301.7209294092324,309.67674262417796,199.66010074324763,0.3552628490879147,0.3840411321003325,0,0
11,325.58710383165834,332.62060282014124,195.73571309402308,0.4115346089975559,0.3771241684693402,0,0
12,198.97049566138082,206.20409143136285,187.78357519532236,0.08933147789733331,0.20625367826415278,0,0
13,275.1028383226007,281.1528383226007,197.25340161751797,0.2984121988795815,0.16502222899454358,0,0
14,989.2903842847643,998.461337078374,196.20443749999987,0.803493204780348,0.2609947417320207,0,0
15,285.04314811203744,288.1931481120375,185.03786085924736,0.35793802846654643,0.25621462211559803,0,0
16,329.27341431910924,334.3269644321376,199.75,0.40253099136266135,0.33696594937108976,0,0
17,464.01841012174356,473.50161625975824,198.7484884114428,0.580258057023376,0.3078270178939148,0,0
18,155.8521395526146,199.75,154.36734911384653,0.2271972509945105,0.09331043623376774,0,0
19,202.19249114729632,213.7045533885894,181.95815026692375,0.14855276884971014,0.3013371777754407,0,0
20,216.23591432645304,230.57394309935643,194.66060187119544,0.1557562868788066,0.18595853937378537,0,0
21,269.57338528304876,280.0827240462268,199.31552621048414,0.28836908135188055,0.281641459588988,0,0
22,248.79578065303758,251.8457806530376,189.93415894105547,0.2458314828679874,0.43013496238905435,0,0
23,168.1608062774536,199.75,165.21892539576876,0.17287146234909256,0.2026183386845158,0,0
24,251.97168776466208,255.17168776466212,191.50896694950575,0.24948975089223369,0.3064213387382503,0,0
25,294.67245857369846,305.41969171652727,193.04002675825464,0.3679516023563303,0.27193185370153844,0,0
26,326.4837097816423,332.1102031138179,198.48097935622866,0.40236410235126985,0.23163731894878728,0,0
27,296.17097253685296,299.22097253685297,187.40362460546288,0.3736948883742376,0.32022869715835967,0,0
28,178.48269359645343,215.33394649016597,178.48269359645343,0.17113536204750457,0.2355220961834252,0,0
29,194.162871077211,219.32759898886556,188.59179410752873,0.14013651279197736,0.21581527132856831,0,0
30,187.10850432509474,221.37758539939904,183.22554964345636,0.17233919905265283,0.20247876051338498,0,0
31,197.88219662854308,200.9321966285431,163.00501991874074,0.18875609457411702,0.18819787188965564,0,0
32,221.79707238659597,227.59922866218952,183.01144367067198,0.1959048159064556,0.30997405818231744,0,0
33,261.6443308883632,270.35206743980933,193.05569793166205,0.2859100366427063,0.27419941489204036,0,0
34,178.13088446808626,212.66461178628882,178.13088446808626,0.16238586677931266,0.07995368434658925,0,0
35,195.92509223936372,199.75,167.71092151348753,0.16039588729167698,0.2117269510820962,0,0
36,206.5320720979084,222.42874324147618,185.61146053101453,0.16552394341630372,0.32188857226840184,0,0
37,276.1922500064111,279.68145261448984,196.39802027044664,0.2977796044946901,0.3911502748493769,0,0
38,303.4953952976633,309.2308847228801,196.3247118153743,0.36511932826078364,0.2306431593643934,0,0
39,181.02231027676288,208.4425355028964,176.3375185117651,0.15402334707584275,0.21240264008505783,0,0
40,202.95435788522536,229.1067485010814,195.34745386510818,0.14735181244918183,0.2717128293476083,0,0
41,626.4192680938515,633.7192680938504,196.88721729362385,0.6893147688473535,0.31526666021592853,0,0
42,1012.1705430833922,1019.2776439913426,199.7,0.8040769350949326,0.24622093995199235,0,0
43,361.43185074552855,373.5402494569497,199.75,0.46525173581589885,0.4192844458086922,0,0
44,174.15842717496187,199.75,172.05570164000665,0.13864479779721328,0.22687240111310147,0,0
45,338.0424688733113,343.5085971083237,199.24431516118494,0.419972842489429,0.3631453754913832,0,0
46,503.40575766086647,507.9847062680456,199.75,0.6067795003761414,0.32250208754030985,0,0
47,222.36484572952483,231.7481254317356,195.5562278824587,0.15616910592848654,0.26995236678799417,0,0
48,295.36811867435415,298.71811867435423,199.22684157955862,0.333060738117648,0.25482990564186225,0,0
49,366.06268773252253,379.1608842444332,197.7901196018177,0.47834777314658705,0.28987770269434743,0,0
50,308.84095964747837,315.8801598632139,199.02762424483092,0.3699267965072065,0.26958054796734987,0,0
51,402.5892214437533,408.14310122560374,199.75,0.5105883220856233,0.2033904552883813,0,0
52,419.9727827934008,422.9727827934008,199.75,0.5277473914968969,0.3257136026863684,0,0
53,468.9566048749098,476.0032142519565,196.8673980478853,0.586415822092159,0.4731419191579938,0,0
54,186.79398632085488,206.0007326245768,186.79398632085488,0.09323630095396307,0.364651769089133,0,0
55,195.31622736641253,217.7922798934766,177.7937148126225,0.18365465066262954,0.2838763117334964,0,0
56,165.3486971035502,199.75,165.3486971035502,0.17222179172190144,0.13958756507337308,0,0
57,178.48107967087117,206.0976328124302,165.62441619596945,0.19637885241164066,0.20059613374068272,0,0
58,235.40378968944836,244.54524719759257,184.57406890283403,0.2452355095100328,0.43384203514130615,0,0
59,330.55316971044215,338.52449119828105,184.69542322359638,0.45441045470646224,0.2939223827093093,0,0
60,277.8212926107751,281.46602675957234,197.45389702653796,0.29848053315790524,0.31575993912547035,0,0
61,279.9957156437216,283.19571564372166,195.90591300085413,0.30823136728764533,0.41609115749071734,0,0
62,225.4937950791487,237.4171525206985,198.21152496828057,0.16513393045180214,0.22362599975994532,0,0
63,304.27441545951484,314.63453408485265,193.46025873321219,0.3851270671990552,0.29550873448046405,0,0
64,188.3355510357735,199.75,176.44178082639067,0.11668695456124822,0.3886563700837166,0,0
65,180.68999362855195,218.42513430771373,167.5792639553324,0.2327839720164736,0.16347351398341756,0,0
66,411.2602813812861,414.36028138128614,199.75,0.5179315948571963,0.24585940442626994,0,0
67,202.00007160348684,204.75362689192087,181.4635989955441,0.11374659511487151,0.2796981150699982,0,0
68,157.1570121222587,199.75,157.1570121222587,0.213231478737128,0.1278021939313296,0,0
69,285.64394795797233,292.82954272135123,195.75379790128758,0.3315093959370019,0.24428421739681758,0,0
70,273.96297214253747,278.01480959250193,196.96120656252523,0.29154419201185866,0.3974935595474342,0,0
71,173.98703614858871,200.73239153744458,173.98703614858871,0.13323886186981837,0.38280223978611105,0,0
