episode,final_balance,max_balance,min_balance,max_drawdown,mean_reward,trades,winrate
1,413.68655253885305,416.9865525388531,197.33631545526993,0.526756164548297,0.27626036955344974,0,0
2,296.21559021424787,301.0973569104972,193.79032601387306,0.35638649238798104,0.16062242126763515,0,0
3,231.08225101723608,238.22008394485096,186.15132762422832,0.21857416662096718,0.19299350855335637,0,0
4,520.4564744814073,523.5064744814073,199.75,0.6184383388994852,0.25743305965978086,0,0
5,227.6514442836884,236.44054405211745,194.49864819500004,0.17738876395019776,0.22745188236786107,0,0
6,287.8686188704184,291.06861887041845,188.41582071326886,0.35267559435134377,0.26970262701918934,0,0
7,261.4114427989593,267.61144279895933,196.586228035509,0.2654042518533386,0.4023970391526824,0,0
8,335.25426028573406,338.9542602857342,199.75,0.4106874484137971,0.24196700173750924,0,0
9,244.52570212262353,247.4512717722163,196.6389647839567,0.20534267867911105,0.17187051305686155,0,0
10,277.62001924551896,281.26294284695547,199.75,0.28981045999831334,0.27590341551071096,0,0
11,405.0901260908618,411.69012609086195,199.75,0.5148049774797994,0.24143811745380217,0,0
12,213.80355707450232,223.1789151865176,192.06723970452347,0.13940239585801883,0.26076932674124276,0,0
13,239.43390096887958,247.6184735734141,199.7,0.19351736113181073,0.14999019199014454,0,0
14,363.0954697140627,366.34546971406274,199.61678064765488,0.4551132819972954,0.3302598705480221,0,0
15,544.0724961061725,547.4724961061721,190.4525795870076,0.6521239314457308,0.26428902756862055,0,0
16,356.80456281535265,360.25456281535276,197.8780942365908,0.4507270284373538,0.2773337283880337,0,0
17,405.9670978486191,413.216865295829,199.75,0.5165976590597395,0.18431741963164255,0,0
18,334.67836693472634,337.67836693472634,187.44190791561033,0.44490993125466316,0.32671796456209296,0,0
19,211.6708587381055,214.7208587381055,191.05609828432648,0.11021174464770034,0.18325047602883587,0,0
20,409.22622044931205,416.52622044931235,192.5832751175412,0.5376442930536304,0.14835452486935538,0,0
21,417.31691834346185,420.66691834346193,199.7,0.5252776215767199,0.27354769798870593,0,0
22,263.2886672582065,269.5289394537007,199.49999999999994,0.2598197417896575,0.16456051495966875,0,0
