episode,final_balance,max_balance,min_balance,max_drawdown,mean_reward,trades,winrate
1,286.4338027117324,292.7778026188486,190.95552801727695,0.34778003554500514,-0.009560478409640296,0,0
2,502.8763297664263,510.5343449405343,196.75375,0.6146121177745303,0.002522661881751127,0,0
3,492.79531191342636,511.9784966269455,199.75,0.6098468952973461,-0.0005497961674466545,0,0
4,561.1783606687726,569.7242240292107,199.75,0.6493917731155513,0.001844705712461391,0,0
5,424.43095057608457,443.9299903064775,199.65960708866257,0.5502452831564211,-0.004694535281216037,0,0
6,1163.431993673491,1181.1492321558283,199.75,0.8308850443602142,0.005285581023216842,0,0
7,286.4796394153646,303.5647620004404,188.33215935797463,0.37959808603311673,-9.080323002776893e-05,0,0
8,494.7256100329423,525.0550936853116,198.75856442569108,0.6214519831992797,-0.010203359214758142,0,0
9,1984.9402072458197,2016.766324871876,199.75,0.9009553077436029,0.006377173327523786,0,0
10,222.62413871175553,229.8172675904696,194.6987996973514,0.15281039697895415,-0.003024077476836933,0,0
11,274.57495076816156,278.1980102280936,195.63116208739763,0.2967916559611613,-0.013820454491342084,0,0
12,425.1975410494058,427.86320051449036,199.75,0.5331451740654309,-0.0052665995567834035,0,0
13,239.83093636559178,252.87364301095937,190.41130155014335,0.24701009056174728,-0.012167098530650162,0,0
14,310.2990955277951,316.35982358933205,196.87961614082403,0.37767187404809577,-0.008301448220765489,0,0
15,507.3642825057056,515.0906421377722,196.75375,0.6180211133647932,-0.008542205066095127,0,0
16,315.5026011192877,332.44000579565045,194.93513280483117,0.4136231217470949,-0.022455238035516693,0,0
17,206.20553939335306,222.62001598194507,196.85780488331315,0.1157227978131189,-0.014205295462367484,0,0
18,243.22818206036544,249.70861019721772,199.75,0.2000676314595674,-0.0035856331208944,0,0
19,305.7017892635689,312.8988556793101,193.1491005019253,0.3827107482301446,6.166706184968085e-06,0,0
20,264.23483943873487,271.4345743696747,188.15084036731264,0.3068280236435006,-0.008225031771964727,0,0
21,223.0036036235684,240.99924482709477,199.75,0.17115922855562926,-0.011144587179253566,0,0
22,630.1386336526342,662.3843836399537,196.33664642941807,0.7035910699607631,0.00017490935460478916,0,0
23,426.39334598304055,455.5626352940961,196.48913667218147,0.5686890858699712,-0.00135478175375366,0,0
24,485.29042783946164,546.1898892376075,196.75375,0.6397704280563737,0.0013777707576185932,0,0
25,1472.589717553148,1525.006792402161,199.75,0.8690169768454882,-0.0002953617169868846,0,0
26,244.16217839759042,253.13462192452673,192.28607172023194,0.24038019667826027,-0.014605789154401352,0,0
27,1506.136608338212,1522.1757877766258,199.75,0.8687733692757221,0.0003824599200043403,0,0
28,252.7855073579447,260.8534174824989,196.75375,0.24573060265464786,-0.011623754108477397,0,0
29,422.5253579177439,425.7448324342576,196.75375,0.5378599221626907,-0.011462668375809509,0,0
30,259.0238932471332,262.9684195402367,185.2114963475336,0.2956892060599906,0.0027129144422051114,0,0
31,583.8432116506203,599.3352502007665,193.80244374999998,0.6766376686752871,-0.00588330307275235,0,0
32,499.33848682671373,506.94262622001395,193.08155226517377,0.6191254349533115,0.0010685081043540403,0,0
33,578.3261298277006,578.7390886974182,199.75,0.6548531040998422,-0.010902458090402675,0,0
34,212.67983523832146,214.0362769252161,182.08072598516026,0.1492996953559469,-0.007325513586104475,0,0
35,221.57784902908563,229.17993674898932,198.32906735401164,0.13461418059804808,-0.008944898363851674,0,0
36,194.25027434622595,214.34778271446032,193.45679164379644,0.09746306122743265,-0.016039784465237145,0,0
37,405.3891743203795,414.07728252879156,199.75,0.5176021278440673,-0.002692660834876874,0,0
38,415.4941399977657,421.82146192666573,190.89540709374998,0.5474497522676136,0.0014491377549931098,0,0
39,414.47233733868325,425.20656055669167,199.75,0.5302283207049251,-0.00607932153773859,0,0
40,309.29176792327223,320.13839745253927,191.68324295121926,0.4012488208958551,0.011274041504353982,0,0
41,383.5776192028381,389.8338570915799,199.75,0.48760222754824845,-0.009611114714872481,0,0
42,249.4878266999627,271.56484343654137,195.27410476005687,0.2809301001965372,-0.013031954857718723,0,0
