time/time_elapsed,time/total_timesteps,train/loss,time/episodes,time/fps,train/n_updates,train/learning_rate,rollout/exploration_rate,eval/mean_ep_length,eval/mean_reward
2748,733291,0.028785150963813066,290,266,723288,0.00025,0.782304234375,,
,750000,0.034350170753896236,,,739996,0.00025,0.7773440468750001,10000.0,1292.4000473333333
2856,760114,0.030363133177161217,300,266,750112,0.00025,0.7743411562500001,,
2944,786015,0.020855941344052553,310,266,776012,0.00025,0.7666517968750001,,
,800000,0.017140288837254047,,,789996,0.00025,0.7625002968750001,10000.0,1541.1662366666667
3085,822634,0.022021485958248377,320,266,812632,0.00025,0.7557805312500001,,
3176,849792,0.022644807118922472,330,267,839788,0.00025,0.7477180000000001,,
,850000,0.017491843784227967,,,839996,0.00025,0.7476565468749999,10000.0,2522.426167333333
3303,882200,0.02704447554424405,340,267,872196,0.00025,0.7380968750000001,,
,900000,0.03065465623512864,,,889996,0.00025,0.732812796875,10000.0,661.1491843333333
3421,911404,0.039158683735877275,350,266,901400,0.00025,0.7294269375,,
3527,942601,0.028215089347213507,360,267,932600,0.00025,0.7201653281250001,,
,950000,0.02393247000873089,,,939996,0.00025,0.717969046875,10000.0,-1725.9424463333332
3633,968106,0.031347529496997595,370,266,958104,0.00025,0.7125935312500001,,
3730,996248,0.022900228621438146,380,267,986244,0.00025,0.7042388750000002,,
,1000000,0.01677161897532642,,,989996,0.00025,0.7031252968750001,10000.0,519.1299910000001
3845,1024425,0.021186823025345802,390,266,1014424,0.00025,0.6958738281250001,,
,1050000,0.028092500753700733,,,1039996,0.00025,0.6882815468750001,10000.0,-970.1434986666667
4022,1070354,0.033434795681387186,400,266,1060352,0.00025,0.68223865625,,
4119,1098602,0.03246912686154246,410,266,1088600,0.00025,0.6738525312500001,,
,1100000,0.03052948135882616,,,1089996,0.00025,0.6734377968749998,10000.0,-2457.717503
4231,1126292,0.03437026450410485,420,266,1116288,0.00025,0.6656320625,,
,1150000,0.023915028432384133,,,1139996,0.00025,0.658594046875,10000.0,-1752.7022263333336
4356,1157731,0.022584209218621254,430,265,1147728,0.00025,0.6562986093750001,,
4471,1190814,0.03232519328594208,440,266,1180812,0.00025,0.6464770937500002,,
,1200000,0.03494079690426588,,,1189996,0.00025,0.6437502968750001,10000.0,2502.9471360000002
4618,1228438,0.0361368153244257,450,266,1218436,0.00025,0.6353074687500001,,
,1250000,0.026194314006716013,,,1239996,0.00025,0.6289065468750001,10000.0,1345.9363649999998
4777,1269812,0.04238543938845396,460,265,1259808,0.00025,0.6230245625,,
,1300000,0.025456277886405587,,,1289996,0.00025,0.6140627968750001,10000.0,2069.803894
4903,1301797,0.02839453425258398,470,265,1291796,0.00025,0.613529015625,,
5003,1330991,0.03372036060318351,480,266,1320988,0.00025,0.604862046875,,
,1350000,0.036878434009850025,,,1339996,0.00025,0.5992190468749998,10000.0,1903.8980766666666
5138,1364708,0.03421279089525342,490,265,1354704,0.00025,0.5948523125,,
5248,1396288,0.03134430851787329,500,266,1386284,0.00025,0.585477,,
,1400000,0.026900556404143572,,,1389996,0.00025,0.584375296875,10000.0,2651.1586153333333
5402,1435621,0.03888638969510794,510,265,1425620,0.00025,0.5738000156249999,,
,1450000,0.0334410909563303,,,1439996,0.00025,0.569531546875,10000.0,2371.178083666666
5532,1467559,0.0427127368748188,520,265,1457556,0.00025,0.5643184218750001,,
5647,1499946,0.026798153296113014,530,265,1489944,0.00025,0.5547035312500002,,
,1500000,0.03786315489560366,,,1489996,0.00025,0.5546877968750001,10000.0,2771.9920469999997
5783,1534302,0.029085496440529823,540,265,1524300,0.00025,0.54450409375,,
,1550000,0.026493532583117485,,,1539996,0.00025,0.5398440468750001,10000.0,2113.2275083333334
5945,1575414,0.03266276093199849,550,264,1565412,0.00025,0.5322989687499999,,
,1600000,0.03139241086319089,,,1589996,0.00025,0.5250002968749999,10000.0,-3304.846923333333
6068,1606331,0.03605290595442057,560,264,1596328,0.00025,0.523120484375,,
6189,1640750,0.030962100718170404,570,265,1630748,0.00025,0.5129023437500001,,
,1650000,0.03371214307844639,,,1639996,0.00025,0.510156546875,10000.0,-330.97675166666676
6350,1681731,0.03929721284657717,580,264,1671728,0.00025,0.500736109375,,
,1700000,0.0409031598828733,,,1689996,0.00025,0.49531279687500007,10000.0,2449.580324
6493,1717058,0.04608770925551653,590,264,1707056,0.00025,0.4902484062500001,,
,1750000,0.0381285585463047,,,1739996,0.00025,0.480469046875,10000.0,1751.6604983333334
6642,1754712,0.045650048181414604,600,264,1744708,0.00025,0.4790698750000002,,
6797,1798393,0.036206827498972416,610,264,1788392,0.00025,0.46610207812500015,,
,1800000,0.04223205056041479,,,1789996,0.00025,0.4656252968750002,10000.0,1188.7848963333333
6969,1842394,0.05119694769382477,620,264,1832392,0.00025,0.4530392812499999,,
,1850000,0.04898917954415083,,,1839996,0.00025,0.45078154687499994,10000.0,1415.228956
7123,1881321,0.03621749859303236,630,264,1871320,0.00025,0.44148282812500017,,
,1900000,0.044115455355495214,,,1889996,0.00025,0.435937796875,10000.0,-2364.9450563333335
7297,1925962,0.040755909867584705,640,263,1915960,0.00025,0.42823003125000003,,
,1950000,0.05297050531953573,,,1939996,0.00025,0.42109404687500007,10000.0,1896.406162
7516,1983049,0.05699734389781952,650,263,1973048,0.00025,0.411282328125,,
,2000000,0.06246752757579088,,,1989996,0.00025,0.40625029687500014,10000.0,-3315.6013719999996
7708,2033073,0.05619832221418619,660,263,2023072,0.00025,0.39643145312500006,,
,2050000,0.04147699614986777,,,2039996,0.00025,0.3914065468750002,10000.0,-988.3633036666666
7896,2082225,0.06461969949305058,670,263,2072224,0.00025,0.381839453125,,
,2100000,0.05455090943723917,,,2089996,0.00025,0.37656279687499994,10000.0,-1794.4108153333334
8087,2131189,0.04227512888610363,680,263,2121188,0.00025,0.36730326562500015,,
,2150000,0.043036773800849915,,,2139996,0.00025,0.361719046875,10000.0,-183.35031000000012
8270,2177613,0.053103006444871426,690,263,2167612,0.00025,0.35352114062500006,,
,2200000,0.03927348740398884,,,2189996,0.00025,0.34687529687500007,10000.0,-362.24914500000006
8466,2227275,0.054497203789651394,700,263,2217272,0.00025,0.3387777343749999,,
,2250000,0.06700958218425512,,,2239996,0.00025,0.33203154687500014,10000.0,-3298.943938666667
8717,2292650,0.0643875002861023,710,263,2282648,0.00025,0.31936953125,,
,2300000,0.07558703236281872,,,2289996,0.00025,0.3171877968750002,10000.0,-3737.7443019999996
8936,2349797,0.0475909523665905,720,262,2339796,0.00025,0.30240401562499986,,
,2350000,0.0596747612580657,,,2339996,0.00025,0.30234404687499994,10000.0,672.8293070000001
,2400000,0.05616401322185993,,,2389996,0.00025,0.287500296875,10000.0,120.7557573333333
9172,2406213,0.04806936904788017,730,262,2396212,0.00025,0.285655515625,,
,2450000,0.05134786944836378,,,2439996,0.00025,0.27265654687499996,10000.0,920.6447949999998
9437,2475753,0.0493152616545558,740,262,2465752,0.00025,0.2650108281250001,,
,2500000,0.06041609821841121,,,2489996,0.00025,0.25781279687500014,10000.0,-266.04389166666687
9691,2541657,0.05835115909576416,750,262,2531656,0.00025,0.24544557812500023,,
,2550000,0.05080432817339897,,,2539996,0.00025,0.2429690468750002,10000.0,1470.708602
,2600000,0.04883930925279856,,,2589996,0.00025,0.22812529687499994,10000.0,250.71600033333343
10000,2617401,0.05014428123831749,760,261,2607400,0.00025,0.22295907812500004,,
,2650000,0.08170180208981037,,,2639996,0.00025,0.213281546875,10000.0,1398.069244
,2700000,0.06000201404094696,,,2689996,0.00025,0.19843779687500007,10000.0,1164.9047126666667
10334,2700785,0.06127852946519852,770,261,2690784,0.00025,0.19820445312500012,,
,2750000,0.05782696511596441,,,2739996,0.00025,0.18359404687500014,10000.0,-1507.7531266666672
10683,2793277,0.05690679047256708,780,261,2783276,0.00025,0.17074589062500023,,
,2800000,0.06627744156867266,,,2789996,0.00025,0.1687502968750001,10000.0,-3841.582319333333
,2850000,0.06307636573910713,,,2839996,0.00025,0.15390654687499994,10000.0,-3158.6802053333336
11046,2884840,0.04554643388837576,790,261,2874836,0.00025,0.1435631249999999,,
,2900000,0.05193532723933458,,,2889996,0.00025,0.13906279687500012,10000.0,-2649.0315313333335
,2950000,0.036775801330804825,,,2939996,0.00025,0.12421904687500007,10000.0,563.5351426666665
11437,2982631,0.050920531153678894,800,260,2972628,0.00025,0.1145314218750001,,
,3000000,0.05017577297985554,,,2989996,0.00025,0.10937529687500014,10000.0,2271.511351333333
,3050000,0.060943533666431904,,,3039996,0.00025,0.0945315468750002,10000.0,-3968.4225753333335
11840,3082631,0.04849215783178806,810,260,3072628,0.00025,0.08484392187500012,,
,3100000,0.03760347422212362,,,3089996,0.00025,0.07968779687499994,10000.0,3667.236367
,3150000,0.03718311619013548,,,3139996,0.00025,0.064844046875,10000.0,1605.3650163333332
12242,3182631,0.035665359580889344,820,259,3172628,0.00025,0.05515642187499992,,
,3200000,0.03981878235936165,,,3189996,0.00025,0.05000029687500007,10000.0,2307.765567666667
,3250000,0.05057181604206562,,,3239996,0.00025,0.05,10000.0,2812.1525746666666
12645,3282631,0.03793442854657769,830,259,3272628,0.00025,0.05,,
,3300000,0.035238766111433506,,,3289996,0.00025,0.05,10000.0,3127.165350333334
,3350000,0.02835048595443368,,,3339996,0.00025,0.05,10000.0,1754.923536333333
13049,3382631,0.045647500548511744,840,259,3372628,0.00025,0.05,,
,3400000,0.031686917413026094,,,3389996,0.00025,0.05,10000.0,3285.376238333333
,3450000,0.04745825286954641,,,3439996,0.00025,0.05,10000.0,3381.0643999999998
13456,3482631,0.03918187692761421,850,258,3472628,0.00025,0.05,,
,3500000,0.04403883684426546,,,3489996,0.00025,0.05,10000.0,2411.4422663333335
