step,action,equity_norm,equity_change,cur_pct,trade_duration,drawdown,pos,_norm_pos
1,3,1.0,"0.0,",0.0,"0.0,",0.0,"[0, 0, 1]",0.0
2,0,0.8168917065551944,"-0.18310829344480567,",0.0005694186038956306,"0.0,",0.18310829344480567,"[0, 1, 0]",0.14285714285714285
3,0,0.816824431927742,"-6.727462745229405e-05,",0.0005659531426319887,"0.0001,",0.18317556807225796,"[0, 1, 0]",0.2857142857142857
4,0,0.8038698614786396,"-0.012954570449102438,",-0.00010136474196392651,"0.0002,",0.19613013852136038,"[0, 1, 0]",0.42857142857142855
5,0,0.8252610906768861,"0.021391229198246573,",0.0010005436442357403,"0.0003,",0.1747389093231138,"[0, 1, 0]",0.5714285714285714
6,0,0.8336914424297097,"0.008430351752823554,",0.001434809258846188,"0.0004,",0.16630855757029026,"[0, 1, 0]",0.7142857142857143
7,0,0.836561125757041,"0.00286968332733124,",0.001582632840876842,"0.0005,",0.16343887424295903,"[0, 1, 0]",0.8571428571428571
8,0,0.8422647527658716,"0.005703627008830717,",0.001876438978641973,"0.0006,",0.15773524723412832,"[0, 1, 0]",1.0
