timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,RSI_14,ADX_14,OBV,MACD,MACD_signal,MACD_hist,CMF_20,StochRSI_K,StochRSI_D,BB_Width_20
1763427600000,92169.86,92221.01,91974.24,92049.48,140.68048,1763427899999,12958450.26256080,40389,65.78744000,6059592.56984570,0,50.7323841623379,29.524780219613337,558.0838299999999,-36.48038581619039,-33.83949568513425,-2.640890131056139,0.09355873611979437,58.49257435215321,48.651732313446026,835.5585541157052
1763427900000,92049.47,92165.99,91950.0,92136.38,158.02514,1763428199999,14548702.61404750,53512,70.22812000,6465313.14137150,0,53.014531828948925,28.34979815362861,716.1089699999999,-22.102531270415056,-31.492102802190416,9.38957153177536,0.183865662497145,61.039487084952064,58.03521912905915,830.6121014769597
1763428200000,92136.39,92168.87,91915.24,91945.25,108.62013,1763428499999,9995636.04625600,41024,46.09407000,4241926.57224930,0,47.77299728578945,27.5121350479898,607.4888399999999,-25.832787324048695,-30.360239706562073,4.527452382513378,0.12346053289680226,55.35797199132884,58.29667780947804,832.5228811053676
1763428500000,91945.26,92163.73,91788.15,92163.73,231.72087,1763428799999,21322649.92588480,43787,144.09442000,13261216.90152310,0,53.43989045941256,27.475144218435968,839.2097099999999,-11.032357880889322,-26.494663341427525,15.462305460538204,0.17808598456992794,64.53708299182968,60.311514022703534,838.4062382973789
1763428800000,92163.74,92200.0,91899.15,91899.15,184.73702,1763429099999,17007291.75939970,34103,65.82236000,6059775.38362240,0,46.81518364144229,27.113857185113794,654.4726899999998,-20.41695181709656,-25.279121036561335,4.862169219464775,0.11655777199747536,63.83320149768491,61.242752160281135,845.053360596823
1763429100000,91899.12,91899.13,91658.25,91798.86,101.54894,1763429399999,9319380.58954440,31564,26.15851000,2400276.26941430,0,44.56024871955968,27.937806991374615,552.9237499999998,-35.53722396865487,-27.330741622980042,-8.206482345674829,0.10948531345681695,65.15832725059418,64.50953724670292,870.5832968647883
1763429400000,91798.86,92074.22,91798.85,92013.11,209.28647,1763429699999,19247209.05133420,35518,126.21193000,11607750.19918670,0,50.090884249396616,27.291072786669833,762.2102199999998,-29.887440338454326,-27.8420813660749,-2.045358972379425,0.09084518092054022,65.11684646547918,64.70279173791943,863.8068172803032
1763429700000,92013.1,92064.0,91834.96,91868.61,91.46916,1763429999999,8409033.99019130,23741,24.41385000,2244506.10020070,0,46.706622617483674,26.705534938474003,670.7410599999998,-36.64743959867337,-29.603153012594596,-7.044286586078776,0.04201926210514383,68.25161555808302,66.17559642471879,854.4650561280723
1763430000000,91868.61,91909.84,91732.17,91909.83,100.5252,1763430299999,9230121.55328630,25833,39.98703000,3671446.11912630,0,47.79025415188628,26.672653366583628,771.2662599999999,-38.237895547863445,-31.330101519648366,-6.907794028215079,0.06760444958234858,75.5469636343844,69.63847521931554,835.9937673547247
1763430300000,91909.84,91939.23,91767.85,91797.13,93.24831,1763430599999,8566154.14954220,30085,29.41079000,2701330.18455440,0,45.09067691150322,26.40787625494285,678.0179499999999,-48.038533165628905,-34.671787848844474,-13.366745316784431,0.007247836934889816,68.65932605631976,70.81930174959571,779.270610548032
1763430600000,91797.13,91814.41,91653.36,91693.97,93.94078,1763430899999,8616183.32366390,30159,37.93169000,3478748.80948060,0,42.71229586713173,26.70673841827448,584.0771699999999,-63.39893547966494,-40.41721737500857,-22.981718104656373,0.018417519831258958,45.528468366772834,63.244919352492325,775.130944960838
1763430900000,91693.97,91815.49,91624.5,91714.29,149.43834,1763431199999,13700462.85079380,30041,36.84257000,3378455.60574230,0,43.3461959512961,27.10873723872031,733.51551,-73.08997506496962,-46.95176891300078,-26.138206151968845,0.029895579157887375,22.75828646618561,45.6486936297594,785.8727877613856
1763431200000,91714.29,91739.18,91279.12,91360.18,244.10405,1763431499999,22317372.47519090,61795,94.40175000,8630799.17885560,0,35.89263360683356,28.718585770183687,489.4114599999999,-108.09782687606639,-59.1809805056139,-48.91684637045249,-0.043080164360287214,1.853346146959626,23.380033659972693,850.2307831146754
1763431500000,91360.18,91549.99,91270.0,91502.27,145.66785,1763431799999,13306030.90798140,46704,64.94659000,5932209.70980780,0,40.326707304146176,30.217574437141874,635.0793099999999,-122.95893211980001,-71.93657082845112,-51.022361291348886,0.012624504967042947,10.276455116004204,11.629362576383146,894.3545948468964
